Author	FirstName	Type	Title	Country	Abstract	Code	LastName	Symposium	Category	WordCount	NameFreq	Gender	Category2	Student	StudentStatus
Aapo Kahilainen	Aapo	poster D21SY27PS1150	Species-genetic diversity correlation in Odonate communities	Finland	Similarities in the theories of community ecology and population genetics suggest that species diversity and genetic diversity within populations are shaped by the same mechanisms (selection, drift and dispersal). Thus, if the characteristics of the locality (environmental heterogeneity, community size and connectivity) influence these mechanisms in parallel on both levels of biodiversity, a positive species-genetic diversity correlation (SGDC) can be observed. However, also negative SGDCs are possible, if the characteristics of the locality influence the mechanisms such that they act in opposing directions on the two levels. As large scale mapping of genetic diversity is not always feasible, studies on the SGDCs can yield information of whether species diversity patterns could be used in predicting genetic diversities of populations. Also, studies on the simultaneous effect of locality characteristics on species diversity and genetic diversity can help predicting the outcomes of different management and conservation actions on both levels of biodiversity. We studied the relationships between species richness of dragonflies and damselflies, the microsatellite allelic richness of two damselfly species (Calopteryx virgo and C. splendens), and locality characteristics of their stream habitats (environmental heterogeneity, density of individuals, latitude, and connectivity to similar localities). Our analyses revealed a positive correlation between species richness and C. virgo allelic richness with a parallel effect of latitude being a likely explanation for the positive SGDC. However, in C. splendens, no SGDC was observed. The absence of an SGDC was likely due to species richness and allelic richness of C. splendens having relationships of opposing directions with connectivity to similar localities. The differing SGDCs even within closely related species highlight the variability of SGDCs in nature. 	D21SY27PS1150	Kahilainen	SY27	PS	271	1	Male	Poster	Student at University of Jyväskylä	Student
Aasis Vinayak	Aasis	poster D23SY18PS1254	Studying the emergence and evolution of apoptosis using Evolutionary Game Theory and Agent Based Modelling	United Kingdom	Both antagonistic pleiotropy and disposable soma theory have predicted senescence (and in turn apoptosis) to be a `side effect'. Although the altruistic benefit of apoptosis has been suggested before, we are attempting to show that in a resource restricted environment, apoptosis can be a strategic choice. To demonstrate this, we employ a theoretical model based on Game Theory (GT) and computer simulations using Agent Based Modelling (ABM). It has been found that genetic mutations can transform the cells in a healthy tissue into a population of individualistic tumour cells. From a theoretical point of view, non-apoptotic cells can also become apoptotic. This allows us to start with a population of non-apoptotic cells and allow some of the cells to randomly mutate and evolve an apoptosis machinery. All these cells age, which will affect the cell's fitness, and may die due to environmental causes. We use a GT model to govern the strategies and payoffs. Initially the cells and the nutrients are randomly placed in the lattice and the cells are allowed to migrate to nearby lattice spaces by paying the cost of migration. The cells compete for food, which is then allocated according to the GT model. Once a cell secures enough nutrients, it replicates and the newborn is added to the population. After each time-step the nutrients are replenished. The non-apoptotic cells have a choice to become apoptotic and vice versa. The simulation is repeated over many time-steps and by varying parameter values. We find that switching to apoptotic mode gives the cell an advantage over non-apoptotic cells in a resource restricted environment. Analysis using Evolutionary GT indicates that apoptosis is an Evolutionary Stable Strategy (ESS) as long as the conditions remain the same. We also demonstrate how the model could potentially improve the disposable soma theory in relation to chronological lifespan. The proposed model has some features that may be of interest to mathematical oncology. 	D23SY18PS1254	Vinayak	SY18	PS	323	NA	NA	Poster	Student at Faculty of Engineering and Physical Sciences (FEPS), University of Surrey	Student
Adam Hayward	Adam	poster D20SY05PS1196	Testing evolutionary predictions of the Predictive Adaptive Response hypothesis in a pre-industrial human population	United Kingdom	Environmental conditions during development can affect later-life health, but the evolutionary mechanisms underpinning these observations remain debated. The silver spoon (SS) hypothesis proposes that poor developmental conditions adversely affect development, leading to lower survival and fertility and increased metabolic disease risk, independent of later-life conditions. Meanwhile, the predictive adaptive response (PAR) hypothesis proposes that metabolic disease results from selection for development which is plastic with regard to environmental conditions, under which survival and fertility are maximised where conditions match in later life. If conditions change, metabolic disease results, but because the benefits of developmental plasticity exceed the costs, metabolic disease is not selected against. The observation that humans conceived during famine but raised in affluent conditions show later health problems is consistent with this idea. However, the proposed evolutionary mechanisms for putative developmental plasticity have rarely been empirically tested in humans. In particular, there are few studies examining the fitness consequences of conditions during development in varying later-life conditions. We tested the effects of early-life environmental conditions on later survival and fertility using data collected from several pre-industrial Finnish populations. We tested effects of early-life conditions on fitness during (i) varying later-life conditions, and (ii) adverse environmental conditions (a severe famine). Our results suggest that adverse early conditions decrease later fitness irrespective of later-life conditions, and that individuals born in poor conditions have lower survival and fertility during later-life famine. Our results do not support the PAR hypothesis, but are consistent with predictions of the SS hypothesis, which suggests that the early environmental conditions influence development in a manner which may persist into later life. 	D20SY05PS1196	Hayward	SY05	PS	274	4	Male	Poster		Staff
Adam Hayward	Adam	talk D23SY20RT18:57R4	Genetic trade-offs and the evolution of human life-histories	United Kingdom	Understanding life-history trade-offs is fundamental to explaining the diversity of life-history strategies in nature, and determining the genetic basis of trade-offs can identify how evolutionary constraint maintains life-history variation. Humans have evolved an unusual life-history compared to other primates, characterized by the menopause and long female post-reproductive lifespan (PRL). These have been hypothesized to evolve to enable (i) reduced reproduction when the costs of reproducing exceed the benefits, and (ii) enhanced grandchild survival. Previous tests of these hypotheses have examined phenotypic correlations between female reproductive rate and (i) PRL and (ii) offspring survival. However, environmental effects can mask genetic associations, and the direction and magnitude of these genetic correlations must be examined to determine the evolutionary potential of such traits. Using genealogical data from preindustrial Finnish church records for eight populations, we applied a multivariate quantitative genetic framework to examine the genetic basis of female reproductive rate, measured by inter-birth interval (IBI). We examined how additive genetic effects on IBI changed with age, and how age-specific genetic effects varied across environmental conditions. We determined the genetic trade-offs between IBI and both PRL and offspring survival, and how these trade-offs varied across ages and environments. Pilot analyses on four populations show a genetic basis to all traits, and suggest that genetic trade-offs between IBI and the other traits increased with age in poor environmental conditions, but were weak and age-independent in good conditions. IBI and PRL were positively related to lifetime fitness, suggesting that genetic trade-offs act as an evolutionary constraint. Our results will reveal new insight into human life-history evolution and generally highlight the fact that genetic correlations between traits may be age- and environment-dependent. 	D23SY20RT18:57R4	Hayward	SY20	RT	291	4	Male	Talk		Staff
Adam Kane	Adam	poster D23SY31PS0608	Vultures acquire information on carcass location from scavenging eagles –the evolution of a producer-scrounger game	Ireland	Vultures are known as the scroungers of the natural world, owing to their ecological role as obligate scavengers. In addition to being unable to kill prey for themselves we suggest that they are dependent on other species to locate food.  Our analyses of bird arrival times at carcasses show that vultures join a carcass after discovery by a raptor more often than expected by chance. We therefore hypothesise that a producer-scrounger game is at play, with raptors tending to locate and “produce” carcasses in an information sense, while the vultures tend to “scrounge” this information by taking their lead from the raptors.  We develop a game-theoretic model showing that such an interspecific producer-scrounger game is evolutionary stable when vultures are dominant to the raptors in agonistic interactions over food. Based on this theoretical finding we explored the dominance hierarchy at a carcass and show empirically that vultures dominate raptors in aggressive contests over food.  Together our analyses show that vultures scrounge on carcass location by observing foraging raptors and their interactions map to a producer-scrounger game. In terms of information use, raptors are dependent on personal information whereas vultures use socially acquired information. Globally vulture populations are declining so our findings have implications for the conservation of the group. By sometimes depending on raptors to locate carrion, scrounging vultures are sensitive to declines in the abundance of these producers. 	D23SY31PS0608	Kane	SY31	PS	233	4	Male	Poster	Student at Trinity College Dublin	Student
Adam Marques	Adam	poster D23SY02PS0691	Assessing caribou ecotypes using functional genes	Canada	Woodland caribou in Ontario use one of two distinct predator avoidance strategies during calving, commonly referred to as behavioural ecotypes. Migratory caribou undergo seasonal shifts in their range from boreal to tundra coasts while sedentary caribou disperse throughout the boreal forest. This project will assess the degree of genetic differentiation between caribou ecotypes within Ontario using functional gene markers. Range overlap and a mixture of caribou lineages in Ontario has made genetic differentiation challenging to detect with traditional neutral markers. Functional genes, however, are subject to selective pressure and may parallel differences between ecotypes. Six genes have been selected for analysis: Mc1R, DRD1, Cyt b, Opsin, IGF1, and PRKG1 several of which are known to vary among caribou subspecies. DNA will be extracted from multiple sources including blood, tissue, and feces. Functional genetic markers will be isolated using Reverse Transcription Polymerase Chain Reaction (RT-PCR) then sequenced using a next-generation sequencer to identify individual genotypes. Once sequenced, a statistical analysis will investigate whether a functional genotype can be ascribed more commonly to a particular ecotype. Determining the relationship between genotype and ecotype can provide insight into the adaptive potential of caribou in response to further northern development. Providing an alternative to mitochondrial classification may help to establish distinctions between caribou ecotypes for management purposes. 	D23SY02PS0691	Marques	SY02	PS	215	4	Male	Poster	Student at Trent University	Student
Adin Ross-Gillespie	Adin	talk D20SY22RT18:33R6	Extracellular quenching of bacterial public goods as an ‘evolution-proof’ anti-virulence therapy: a case study with Pseudomonas aeruginosa	Switzerland	Many bacterial exoproducts yield population-level benefits. Such ‘public goods’ (PG) include key virulence factors, and therapies designed to block their production are attracting increasing attention nowadays. The disruption of cell-to-cell communication (quorum sensing, QS), is considered especially promising because it could block production of multiple exoproducts, yet should prompt weaker selection for resistance than conventional antimicrobials. However, initial enthusiasm for this approach (‘quorum quenching’, QQ) has been tempered by claims that resistance in fact evolves readily, for example by improving pumps to eject QQ compounds from cells. Here, we focus on a different strategy, in which PGs (siderophores) are quenched outside producer cells. We show that adding gallium (Ga) to iron-limited Pseudomonas aeruginosa cultures suppresses growth in a dose-dependent manner by (a) deactivating siderophores and thereby choking the supply of iron, and (b) inducing costly production of further siderophores. In experimental infections of moth larvae (Galleria mellonella), Ga suppressed bacterial growth and extended larval survival. Crucially, moderate levels of Ga reduced virulence below those of infections with siderophore-defective mutant strains, which suggests that Ga also induces siderophore overproduction in vivo, imposing extra metabolic burden on bacteria without generating benefits. We argue that strategies that quenching secreted PGs extracellularly should be more effective than those that inhibit synthesis in the cell, since PG production costs remain or even increase. With Ga-mediated PG-quenching, resistance is particularly unlikely to evolve because (a) extracellular quenching is impervious to typical within-cell resistance traits; (b) avoiding siderophore production is maladaptive (non-producing ‘cheats’ could not spread in our experiments); and (c) evolving siderophores with reduced susceptibility to Ga appears to be biochemically unfeasible. 	D20SY22RT18:33R6	Ross-Gillespie	SY22	RT	276	1	Male	Talk		Staff
Agata Banaszek	Agata	poster D21SY30PS0832	The phylogeography of the common hamster, the species endangered in Europe	Poland	The common hamster (Cricetus cricetus L.) is a formerly steppe species, in Europe generally restricted to agricultural sites. The changes in agriculture practice, urbanization of formerly agricultural areas, direct persecution and, most probably, climate change caused the breakdown of populations in many European countries. For any conservation plans, it is essential to gain information about the phylogeographic lineages and their source, refugial populations. In Europe, three phylogeographic lineages were described so far: North in Western Europe and Germany, Pannonia in the Carpathian Basin and E1 lineage in Eastern Poland and Western Ukraine. Paleontological data suggest that the common hamster survived the maximal glaciations in the Ukrainian and European Russian belt of steppes. The aim of this work was to describe the genetic differentiation of the Ukrainian populations, which could serve as a source of westward expansion of hamsters into Central and Western Europe. The phylogeographic analysis was performed on the basis of three sequences of mitochondrial DNA (the control region, 16S rRNA and cytochrome b) and six conserved intron loci located on the Y chromosome (YCATS). The phylogeographic relationships of the analyzed populations will be described on the basis of the gene trees and networks of haplotypes. The levels of diversity will be compared with other described populations. 	D21SY30PS0832	Banaszek	SY30	PS	208	2	Female	Poster		Staff
Agata Plesnar-Bielak	Agata	poster D20SY32PS0490	Complex response in life history traits of the bulb mites in elevated thermal conditions – an experimental evolution approach	Poland	Temperature is a key environmental factor affecting almost all the aspects of life histories in ectotherms. The theory predicts that organisms grow faster, reach smaller sizes and produce smaller offspring when temperature increases. In addition, temperature changes, through their effects on metabolism, may also influence the expression of alternative reproductive phenotypes (ARP). Although many studies investigated reaction norms of life history traits in relation to temperature change, little is known about how these reaction norms evolve. In our study we subjected the bulb mites to experimental evolution in two temperature treatments: control and elevated. After 18 generations we measured adult body size, eggs size and development time of both treatments at control as well as at elevated temperature. Thus, we were able to distinguish genetic changes (the effect of selection temperature) from environmental effects. The ARP expression was recorded in each generation. We found that mites developed faster and reached smaller sizes at increased temperature, but genetic effects of thermal adaptation were not always parallel to the observed reaction norms revealing quite complex patterns of life history traits response to temperature. Despite smaller body sizes females laid larger eggs at higher temperature. This effect was more pronounced in animals evolving at elevated temperature. Evolution at increased temperature affected also ARP expression with the proportion of armored fighters decreasing from generation to generation. We propose that this could be the consequence of temperature sensitiveness of cost to benefits ratio of expressing ARPs. 	D20SY32PS0490	Plesnar-Bielak	SY32	PS	241	2	Female	Poster	Student at Jagiellonian University	Student
Agnieszka Kijewska	Agnieszka	poster D21SY13PS0795	Characteristic of Atlantic cod (Gadus morhua, L.) populations in the Baltic Sea according to its adaptations to local environmental changes	Poland	Atlantic cod (G. morhua, L.) presently is one of the most valuable commercial species in the Baltic Sea. Cod’s distribution in the Baltic Sea may depends on salinity and availability of spawning and feeding areas. Five samples of Baltic cod (n=150) were used for analyzing SNPs and genes expression. Data obtained for genes related to environmental conditions, e.g. salinity and temperature (alpha-enolase (Gm1156), heat-shock protein 90 (Hsp90), aromatase (Aro9), and neuropeptide Y (NPY)) show different distribution of alleles and suggest presence of minimum 2 populations of cod: eastern and western. The transitions area between those populations are correlated to decrease of salinity. The eastern stock is adapted to local environment, characterized by very low salinity (under 7 PSU). In fish from western Baltic Sea we observe higher genetic heterogeneity than in the eastern population, which has a very low admixture of alleles other than those correlated with low salinity. Western population is probably under strong influence of the North Sea cod’s stock. Further research should indicate if hypothesis assuming link between this differentiation and influence of local adaptations of cod is valid. 	D21SY13PS0795	Kijewska	SY13	PS	185	1	Female	Poster		Staff
